TYPE	ACCESSION	ALIAS
SAMPLE	ERS23798867	CAB11W
SAMPLE	ERS23798868	CAC149
SAMPLE	ERS23798869	CAM116
SAMPLE	ERS23798870	CAK103
SAMPLE	ERS23798871	CAK102
SAMPLE	ERS23798872	CAD14K
SAMPLE	ERS23798873	CAD12G
SAMPLE	ERS23798874	CAD12H
SAMPLE	ERS23798875	CAB198
SAMPLE	ERS23798876	CAE12Y
SAMPLE	ERS23798877	CAL103
SAMPLE	ERS23798878	CAN10X
SAMPLE	ERS23798879	CAE12Z
SAMPLE	ERS23798880	CAD12M
SAMPLE	ERS23798881	CAC140
SAMPLE	ERS23798882	CAB17W
SAMPLE	ERS23798883	CAL11A
SAMPLE	ERS23798884	CAB17R
SAMPLE	ERS23798885	CAK10S
SAMPLE	ERS23798886	CAN171
SAMPLE	ERS23798887	CAE103
SAMPLE	ERS23798888	CAM11C
SAMPLE	ERS23798889	CAM11B
SAMPLE	ERS23798890	CAF11K
SAMPLE	ERS23798891	CAF11J
SAMPLE	ERS23798892	CAF11I
SAMPLE	ERS23798893	CAE133
SAMPLE	ERS23798894	CAJ10S
SAMPLE	ERS23798895	CAD11Y
SAMPLE	ERS23798896	CAD11X
SAMPLE	ERS23798897	CAD11W
SAMPLE	ERS23798898	CAM102
SAMPLE	ERS23798899	CAB12B
SAMPLE	ERS23798900	CAC14M
SAMPLE	ERS23798901	CAC14L
SAMPLE	ERS23798902	CAD11V
SAMPLE	ERS23798903	CAB18D
SAMPLE	ERS23798904	CAD11U
SAMPLE	ERS23798905	CAB18C
SAMPLE	ERS23798906	CAC14K
SAMPLE	ERS23798907	CAK116
SAMPLE	ERS23798908	CAF118
SAMPLE	ERS23798909	CAC10T
SAMPLE	ERS23798910	CAF119
SAMPLE	ERS23798911	CAE11H
SAMPLE	ERS23798912	CAI110
SAMPLE	ERS23798913	CAC13S
SAMPLE	ERS23798914	CAD13F
SAMPLE	ERS23798915	CAB17P
SAMPLE	ERS23798916	CAD146
SAMPLE	ERS23798917	CAD145
SAMPLE	ERS23798918	CAD13H
SAMPLE	ERS23798919	CAB17Q
SAMPLE	ERS23798920	CAL119
SAMPLE	ERS23798921	CAL116
SAMPLE	ERS23798922	CAC13U
SAMPLE	ERS23798923	CAB17M
SAMPLE	ERS23798924	CAI10Z
SAMPLE	ERS23798925	CAM112
SAMPLE	ERS23798926	CAC13X
SAMPLE	ERS23798927	CAC13H
SAMPLE	ERS23798928	CAB11U
SAMPLE	ERS23798929	CAL114
SAMPLE	ERS23798930	CAG11J
SAMPLE	ERS23798931	CAD141
SAMPLE	ERS23798932	CAB167
SAMPLE	ERS23798933	CAI10P
SAMPLE	ERS23798934	CAE12Q
SAMPLE	ERS23798935	CAC138
SAMPLE	ERS23798936	CAE12N
SAMPLE	ERS23798937	CAE12P
SAMPLE	ERS23798938	CAD142
SAMPLE	ERS23798939	CAC102
SAMPLE	ERS23798940	CAE12R
SAMPLE	ERS23798941	CAC139
SAMPLE	ERS23798942	CAN102
SAMPLE	ERS23798943	CAI10M
SAMPLE	ERS23798944	CAH11G
SAMPLE	ERS23798945	CAL118
SAMPLE	ERS23798946	CAM10T
SAMPLE	ERS23798947	CAE12L
SAMPLE	ERS23798948	CAB15U
SAMPLE	ERS23798949	CAD10F
SAMPLE	ERS23798950	CAH11H
SAMPLE	ERS23798951	CAB15T
SAMPLE	ERS23798952	CAD118
SAMPLE	ERS23798953	CAE12I
SAMPLE	ERS23798954	CAF10J
SAMPLE	ERS23798955	CAE12K
SAMPLE	ERS23798956	CAI10S
SAMPLE	ERS23798957	CAM10V
SAMPLE	ERS23798958	CAD139
SAMPLE	ERS23798959	CAF10P
SAMPLE	ERS23798960	CAM100
SAMPLE	ERS23798961	CAE117
SAMPLE	ERS23798962	CAF10Q
SAMPLE	ERS23798963	CAJ10A
SAMPLE	ERS23798964	CAE12M
SAMPLE	ERS23798965	CAI10N
SAMPLE	ERS23798966	CAC137
SAMPLE	ERS23798967	CAK10M
SAMPLE	ERS23798968	CAG127
SAMPLE	ERS23798969	CAH11I
SAMPLE	ERS23798970	CAJ10B
SAMPLE	ERS23798971	CAB11T
SAMPLE	ERS23798972	CAI10R
SAMPLE	ERS23798973	CAG126
SAMPLE	ERS23798974	CAD143
SAMPLE	ERS23798975	CAD144
SAMPLE	ERS23798976	CAN104
SAMPLE	ERS23798977	CAD132
SAMPLE	ERS23798978	CAC11J
SAMPLE	ERS23798979	CAC11K
SAMPLE	ERS23798980	CAC115
SAMPLE	ERS23798981	CAD13J
SAMPLE	ERS23798982	CAH10G
SAMPLE	ERS23798983	CAD112
SAMPLE	ERS23798984	CAC11Z
SAMPLE	ERS23798985	CAH10D
SAMPLE	ERS23798986	CAB137
SAMPLE	ERS23798987	CAH10B
SAMPLE	ERS23798988	CAC11X
SAMPLE	ERS23798989	CAF101
SAMPLE	ERS23798990	CAD111
SAMPLE	ERS23798991	CAD10T
SAMPLE	ERS23798992	CAD10W
SAMPLE	ERS23798993	CAI105
SAMPLE	ERS23798994	CAD10V
SAMPLE	ERS23798995	CAC11F
SAMPLE	ERS23798996	CAL10K
SAMPLE	ERS23798997	CAI106
SAMPLE	ERS23798998	CAB13M
SAMPLE	ERS23798999	CAL10J
SAMPLE	ERS23799000	CAI108
SAMPLE	ERS23799001	CAI107
SAMPLE	ERS23799002	CAB12A
SAMPLE	ERS23799003	CAG10I
SAMPLE	ERS23799004	CAM10C
SAMPLE	ERS23799005	CAD110
SAMPLE	ERS23799006	CAG10K
SAMPLE	ERS23799007	CAB136
SAMPLE	ERS23799008	CAC11G
SAMPLE	ERS23799009	CAD114
SAMPLE	ERS23799010	CAI109
SAMPLE	ERS23799011	CAC11Y
SAMPLE	ERS23799012	CAD113
SAMPLE	ERS23799013	CAB139
SAMPLE	ERS23799014	CAB13A
SAMPLE	ERS23799015	CAM10G
SAMPLE	ERS23799016	CAD116
SAMPLE	ERS23799017	CAB13C
SAMPLE	ERS23799018	CAF10L
SAMPLE	ERS23799019	CAB14W
SAMPLE	ERS23799020	CAB14X
SAMPLE	ERS23799021	CAG119
SAMPLE	ERS23799022	CAC124
SAMPLE	ERS23799023	CAH105
SAMPLE	ERS23799024	CAL10M
SAMPLE	ERS23799025	CAJ100
SAMPLE	ERS23799026	CAG118
SAMPLE	ERS23799027	CAM10A
SAMPLE	ERS23799028	CAM109
SAMPLE	ERS23799029	CAE10I
SAMPLE	ERS23799030	CAD10X
SAMPLE	ERS23799031	CAM10B
SAMPLE	ERS23799032	CAC11D
SAMPLE	ERS23799033	CAC113
SUBMISSION	ERA31197017	ena-SUBMISSION-TAB-11-03-2025-14:10:22:070-726462
