Reads	Human_reads_removed
Sample_17-CAE10A_1C4_1.fastq.gz	188982
Sample_17-CAE10A_1C4_2.fastq.gz	188982
Sample_180-CAD109_4G9_1.fastq.gz	94194
Sample_180-CAD109_4G9_2.fastq.gz	94194
Sample_181-CAC10L_4H3_1.fastq.gz	340474
Sample_181-CAC10L_4H3_2.fastq.gz	340474
Sample_182-CAD10B_4H5_1.fastq.gz	42587
Sample_182-CAD10B_4H5_2.fastq.gz	42587
Sample_183-CAL102_4H8_1.fastq.gz	86577
Sample_183-CAL102_4H8_2.fastq.gz	86577
Sample_184-CAD108_4I1_1.fastq.gz	116485
Sample_184-CAD108_4I1_2.fastq.gz	116485
Sample_185-CAD10C_4I2_1.fastq.gz	592235
Sample_185-CAD10C_4I2_2.fastq.gz	592235
Sample_186-CAD10E_4I4_1.fastq.gz	2423099
Sample_186-CAD10E_4I4_2.fastq.gz	2423099
Sample_187-CAB16E_5A1_1.fastq.gz	630247
Sample_187-CAB16E_5A1_2.fastq.gz	630247
Sample_188-CAE11S_5A2_1.fastq.gz	25171
Sample_188-CAE11S_5A2_2.fastq.gz	25171
Sample_189-CAH10L_5A3_1.fastq.gz	71050
Sample_189-CAH10L_5A3_2.fastq.gz	71050
Sample_18-CAC112_1C5_1.fastq.gz	209097
Sample_18-CAC112_1C5_2.fastq.gz	209097
Sample_190-CAF10U_5A7_1.fastq.gz	79635
Sample_190-CAF10U_5A7_2.fastq.gz	79635
Sample_191-CAK10P_5B2_1.fastq.gz	36265
Sample_191-CAK10P_5B2_2.fastq.gz	36265
Sample_192-CAB16J_5B3_1.fastq.gz	287243
Sample_192-CAB16J_5B3_2.fastq.gz	287243
Sample_193-CAB16K_5B4_1.fastq.gz	42008
Sample_193-CAB16K_5B4_2.fastq.gz	42008
Sample_194-CAB16G_5B5_1.fastq.gz	8354425
Sample_194-CAB16G_5B5_2.fastq.gz	8354425
Sample_195-CAL113_5B6_1.fastq.gz	939841
Sample_195-CAL113_5B6_2.fastq.gz	939841
Sample_196-CAB16I_5B8_1.fastq.gz	435513
Sample_196-CAB16I_5B8_2.fastq.gz	435513
Sample_197-CAB16H_5B9_1.fastq.gz	18119558
Sample_197-CAB16H_5B9_2.fastq.gz	18119558
Sample_198-CAB16R_5C3_1.fastq.gz	1097619
Sample_198-CAB16R_5C3_2.fastq.gz	1097619
Sample_199-NC_5_C6_1.fastq.gz	315350
Sample_199-NC_5_C6_2.fastq.gz	315350
Sample_19-CAH103_1C8_1.fastq.gz	110917
Sample_19-CAH103_1C8_2.fastq.gz	110917
Sample_1-CAE10E_1A1_1.fastq.gz	7527
Sample_1-CAE10E_1A1_2.fastq.gz	7527
Sample_200-CAN106_5C7_1.fastq.gz	20191
Sample_200-CAN106_5C7_2.fastq.gz	20191
Sample_201-CAD12K_5D1_1.fastq.gz	94026
Sample_201-CAD12K_5D1_2.fastq.gz	94026
Sample_202-CAD12I_5D2_1.fastq.gz	32723011
Sample_202-CAD12I_5D2_2.fastq.gz	32723011
Sample_203-CAD12J_5D3_1.fastq.gz	89463
Sample_203-CAD12J_5D3_2.fastq.gz	89463
Sample_204-CAD11T_5D4_1.fastq.gz	94630
Sample_204-CAD11T_5D4_2.fastq.gz	94630
Sample_205-CAD12Q_5D7_1.fastq.gz	53023941
Sample_205-CAD12Q_5D7_2.fastq.gz	53023941
Sample_206-CAD12P_5D8_1.fastq.gz	801842
Sample_206-CAD12P_5D8_2.fastq.gz	801842
Sample_207-CAJ10Q_5E5_1.fastq.gz	25960
Sample_207-CAJ10Q_5E5_2.fastq.gz	25960
Sample_208-CAM117_5E6_1.fastq.gz	40306
Sample_208-CAM117_5E6_2.fastq.gz	40306
Sample_209-CAN10V_5E7_1.fastq.gz	43773
Sample_209-CAN10V_5E7_2.fastq.gz	43773
Sample_20-CAL109_1C9_1.fastq.gz	8819117
Sample_20-CAL109_1C9_2.fastq.gz	8819117
Sample_210-CAB192_5E9_1.fastq.gz	94446
Sample_210-CAB192_5E9_2.fastq.gz	94446
Sample_211-CAM118_5F1_1.fastq.gz	25693964
Sample_211-CAM118_5F1_2.fastq.gz	25693964
Sample_212-CAD14M_5F2_1.fastq.gz	56484
Sample_212-CAD14M_5F2_2.fastq.gz	56484
Sample_213-CAD14P_5F5_1.fastq.gz	50029
Sample_213-CAD14P_5F5_2.fastq.gz	50029
Sample_214-NC_5_F6_1.fastq.gz	177859
Sample_214-NC_5_F6_2.fastq.gz	177859
Sample_215-CAC14B_5F7_1.fastq.gz	44172
Sample_215-CAC14B_5F7_2.fastq.gz	44172
Sample_216-CAD14J_5F8_1.fastq.gz	236051
Sample_216-CAD14J_5F8_2.fastq.gz	236051
Sample_217-CAC14A_5F9_1.fastq.gz	196586
Sample_217-CAC14A_5F9_2.fastq.gz	196586
Sample_218-CAC148_5G1_1.fastq.gz	59686
Sample_218-CAC148_5G1_2.fastq.gz	59686
Sample_219-CAC147_5G2_1.fastq.gz	39995
Sample_219-CAC147_5G2_2.fastq.gz	39995
Sample_21-CAH102_1D4_1.fastq.gz	78967
Sample_21-CAH102_1D4_2.fastq.gz	78967
Sample_220-CAB18W_5G3_1.fastq.gz	2946508
Sample_220-CAB18W_5G3_2.fastq.gz	2946508
Sample_221-CAB18U_5G5_1.fastq.gz	60960
Sample_221-CAB18U_5G5_2.fastq.gz	60960
Sample_222-CAB18S_5G7_1.fastq.gz	26958280
Sample_222-CAB18S_5G7_2.fastq.gz	26958280
Sample_223-CAB18H_5G9_1.fastq.gz	33915198
Sample_223-CAB18H_5G9_2.fastq.gz	33915198
Sample_224-CAB18A_5H1_1.fastq.gz	644500
Sample_224-CAB18A_5H1_2.fastq.gz	644500
