file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Sample_27-CAE106_1F1_1.fastq	FASTQ	DNA	64737428	5879323306	20	90.8	151
Sample_27-CAE106_1F1_2.fastq	FASTQ	DNA	64737428	5865852663	20	90.6	151
Sample_280-CAG11Y_6H4_1.fastq	FASTQ	DNA	69909960	6479895259	20	92.7	151
Sample_280-CAG11Y_6H4_2.fastq	FASTQ	DNA	69909960	6454725458	20	92.3	151
Sample_281-CAI10K_6H5_1.fastq	FASTQ	DNA	74635007	6501205524	20	87.1	151
Sample_281-CAI10K_6H5_2.fastq	FASTQ	DNA	74635007	6485263454	20	86.9	151
Sample_282-CAD13Y_6H6_1.fastq	FASTQ	DNA	68532128	6199982792	20	90.5	151
Sample_282-CAD13Y_6H6_2.fastq	FASTQ	DNA	68532128	6181017179	20	90.2	151
Sample_283-CAD136_6I2_1.fastq	FASTQ	DNA	49069327	5166490447	20	105.3	151
Sample_283-CAD136_6I2_2.fastq	FASTQ	DNA	49069327	5148953270	20	104.9	151
Sample_284-CAC129_6I3_1.fastq	FASTQ	DNA	281	24891	25	88.6	151
Sample_284-CAC129_6I3_2.fastq	FASTQ	DNA	281	24622	25	87.6	151
Sample_285-CAM10K_6I5_1.fastq	FASTQ	DNA	72634450	6763371019	20	93.1	151
Sample_285-CAM10K_6I5_2.fastq	FASTQ	DNA	72634450	6747219217	20	92.9	151
Sample_286-CAJ103_6I6_1.fastq	FASTQ	DNA	83037391	7119769618	20	85.7	151
Sample_286-CAJ103_6I6_2.fastq	FASTQ	DNA	83037391	7103311466	20	85.5	151
Sample_287-CAL10T_6I7_1.fastq	FASTQ	DNA	87475925	7602959971	20	86.9	151
Sample_287-CAL10T_6I7_2.fastq	FASTQ	DNA	87475925	7584013134	20	86.7	151
Sample_288-CAL10U_7A1_1.fastq	FASTQ	DNA	44796528	5559799279	20	124.1	151
Sample_288-CAL10U_7A1_2.fastq	FASTQ	DNA	44796528	5535442553	20	123.6	151
Sample_289-CAL10V_7A2_1.fastq	FASTQ	DNA	49129414	4610970184	20	93.9	151
Sample_289-CAL10V_7A2_2.fastq	FASTQ	DNA	49129414	4596262623	20	93.6	151
Sample_28-CAD10J_1F4_1.fastq	FASTQ	DNA	71774531	6834613905	20	95.2	151
Sample_28-CAD10J_1F4_2.fastq	FASTQ	DNA	71774531	6814154479	20	94.9	151
Sample_290-CAD13P_7A3_1.fastq	FASTQ	DNA	69426598	5651465565	20	81.4	151
Sample_290-CAD13P_7A3_2.fastq	FASTQ	DNA	69426598	5632953233	20	81.1	151
Sample_291-CAI10D_7A4_1.fastq	FASTQ	DNA	55529107	4658062131	20	83.9	151
Sample_291-CAI10D_7A4_2.fastq	FASTQ	DNA	55529107	4650589455	20	83.8	151
Sample_292-CAD137_7A5_1.fastq	FASTQ	DNA	104994794	9372207781	20	89.3	151
Sample_292-CAD137_7A5_2.fastq	FASTQ	DNA	104994794	9337891644	20	88.9	151
Sample_293-CAB15F_7A7_1.fastq	FASTQ	DNA	13502872	1568594394	20	116.2	151
Sample_293-CAB15F_7A7_2.fastq	FASTQ	DNA	13502872	1562673595	20	115.7	151
Sample_294-CAB15G_7A8_1.fastq	FASTQ	DNA	4602616	436294464	20	94.8	151
